"Package","Match","Status"
"aichat","sigoden.AIChat;aichat","mapped"
"anomalyco/tap/opencode","SST.opencode","mapped"
"argo","","unmapped"
"argocd","","unmapped"
"artifacthub/cmd/ah","","unmapped"
"atlantis","","unmapped"
"atuin","atuin","mapped"
"bash-preexec","","unmapped"
"bat","bat;sharkdp.bat","mapped"
"block-goose-cli","","unmapped"
"buildpacks/tap/pack","buildpacks.pack","mapped"
"c7n","","unmapped"
"cdk8s","","unmapped"
"chezmoi","chezmoi","mapped"
"cilium-cli","","unmapped"
"claude-code","","unmapped"
"cmctl","","unmapped"
"codex","","unmapped"
"copilot-cli","","unmapped"
"coredns","","unmapped"
"cortex","","unmapped"
"cri-tools","","unmapped"
"crossplane","","unmapped"
"crush","charmbracelet.crush","mapped"
"dagger","","unmapped"
"dapr/tap/dapr-cli","","unmapped"
"devcontainer","","unmapped"
"devspace","","unmapped"
"direnv","","unmapped"
"dysk","","unmapped"
"envoy","","unmapped"
"etcd","etcd-io.etcd","mapped"
"eza","eza","mapped"
"falco","","unmapped"
"fd","fd","mapped"
"flux","FluxCD.Flux","mapped"
"font-0xproto-nerd-font","","unmapped"
"font-blex-mono-nerd-font","","unmapped"
"font-caskaydia-mono-nerd-font","","unmapped"
"font-comic-shanns-mono-nerd-font","","unmapped"
"font-droid-sans-mono-nerd-font","","unmapped"
"font-fira-code-nerd-font","","unmapped"
"font-go-mono-nerd-font","","unmapped"
"font-jetbrains-mono-nerd-font","","unmapped"
"font-sauce-code-pro-nerd-font","","unmapped"
"font-source-code-pro","","unmapped"
"font-ubuntu-nerd-font","","unmapped"
"gemini-cli","","unmapped"
"gh","gh;GitHub.cli","mapped"
"grpc","","unmapped"
"grype","","unmapped"
"harbor-cli","","unmapped"
"helix","Helix.Helix","mapped"
"helm","Helm.Helm","mapped"
"imgpkg","","unmapped"
"istioctl","","unmapped"
"k0sproject/tap/k0sctl","","unmapped"
"k3d","k3d.k3d","mapped"
"k3sup","","unmapped"
"k8sgpt","","unmapped"
"k9s","k9s","mapped"
"kapp","","unmapped"
"karmadactl","","unmapped"
"kbld","","unmapped"
"kcl-lang/tap/kcl","kcl-lang.kcl","mapped"
"kctrl","","unmapped"
"kimi-cli","","unmapped"
"kind","Kubernetes.kind","mapped"
"kitops-ml/kitops/kitops","","unmapped"
"kn","","unmapped"
"ko","","unmapped"
"kptdev/kpt/kpt","","unmapped"
"kubectl","kubectl;Kubernetes.kubectl","mapped"
"kubectl-cnpg","","unmapped"
"kubectx","kubectx","mapped"
"kubernetes-cli","","unmapped"
"kubescape","","unmapped"
"kubevela","","unmapped"
"kumactl","","unmapped"
"kwctl","","unmapped"
"kwt","","unmapped"
"kyverno","","unmapped"
"lima","","unmapped"
"linkerd","","unmapped"
"litmusctl","","unmapped"
"llm","","unmapped"
"llmfit","","unmapped"
"mesheryctl","","unmapped"
"micro","zyedidia.micro","mapped"
"microcks/tap/microcks-cli","","unmapped"
"minikube","","unmapped"
"mise","","unmapped"
"mistral-vibe","","unmapped"
"mods","charmbracelet.mods","mapped"
"nats-server","","unmapped"
"nerdctl","","unmapped"
"notation","","unmapped"
"nvim","","unmapped"
"opa","","unmapped"
"openfga","","unmapped"
"opentelemetry-cpp","","unmapped"
"operator-sdk","","unmapped"
"porter","","unmapped"
"prometheus","","unmapped"
"qwen-code","","unmapped"
"ramalama","","unmapped"
"ripgrep","ripgrep","mapped"
"starship","starship;Starship.Starship","mapped"
"syft","","unmapped"
"tealdeer","","unmapped"
"telepresenceio/telepresence/telepresence-oss","","unmapped"
"thanos","","unmapped"
"tiup","","unmapped"
"trash-cli","","unmapped"
"tremor-runtime","","unmapped"
"ublue-os/experimental-tap/clion-linux","JetBrains.CLion","mapped"
"ublue-os/experimental-tap/cursor-linux","Anysphere.Cursor","mapped"
"ublue-os/experimental-tap/datagrip-linux","JetBrains.DataGrip","mapped"
"ublue-os/experimental-tap/dataspell-linux","JetBrains.DataSpell","mapped"
"ublue-os/experimental-tap/emacs-app-linux","","unmapped"
"ublue-os/experimental-tap/goland-linux","JetBrains.GoLand","mapped"
"ublue-os/experimental-tap/intellij-idea-linux","","unmapped"
"ublue-os/experimental-tap/opencode-desktop-linux","","unmapped"
"ublue-os/experimental-tap/phpstorm-linux","JetBrains.PhpStorm","mapped"
"ublue-os/experimental-tap/pycharm-linux","JetBrains.PyCharm","mapped"
"ublue-os/experimental-tap/rider-linux","JetBrains.Rider.EAP","mapped"
"ublue-os/experimental-tap/rubymine-linux","JetBrains.RubyMine","mapped"
"ublue-os/experimental-tap/rustrover-linux","JetBrains.RustRover","mapped"
"ublue-os/experimental-tap/webstorm-linux","JetBrains.WebStorm","mapped"
"ublue-os/tap/antigravity-linux","","unmapped"
"ublue-os/tap/goose-linux","","unmapped"
"ublue-os/tap/jetbrains-toolbox-linux","","unmapped"
"ublue-os/tap/linux-mcp-server","","unmapped"
"ublue-os/tap/lm-studio-linux","","unmapped"
"ublue-os/tap/visual-studio-code-linux","","unmapped"
"ublue-os/tap/vscodium-linux","VSCodium.VSCodium","mapped"
"ugrep","","unmapped"
"uutils-coreutils","","unmapped"
"valkyrie00/bbrew/bbrew","","unmapped"
"vendir","","unmapped"
"virtctl","","unmapped"
"vitess","","unmapped"
"wasmcloud/wasmcloud/wash","","unmapped"
"wasmedge","","unmapped"
"whisper-cpp","","unmapped"
"yq","MikeFarah.yq","mapped"
"ytt","","unmapped"
"zoxide","ajeetdsouza.zoxide","mapped"
